iter	Passed	Remaining
765	128566	123195
766	128760	123052
767	128947	122902
768	129097	122718
769	129259	122545
770	129413	122363
771	129571	122186
772	129741	122021
773	129901	121845
774	130071	121679
775	130230	121503
776	130394	121331
777	130566	121168
778	130729	120996
779	130886	120818
780	131043	120640
781	131218	120478
782	131396	120320
783	131559	120149
784	131719	119973
785	131883	119802
786	132065	119647
787	132253	119497
788	132452	119358
789	132625	119195
790	132808	119040
791	132997	118891
792	133161	118720
793	133318	118543
794	133487	118376
795	133650	118203
796	133813	118031
797	133973	117856
798	134132	117680
799	134311	117522
800	134512	117383
801	134719	117249
802	134914	117105
803	135089	116943
804	135248	116767
805	135418	116600
806	135598	116443
807	135776	116283
808	135956	116125
809	136129	115962
810	136290	115787
811	136452	115614
812	136605	115434
813	136760	115255
814	136919	115079
815	137079	114904
816	137246	114735
817	137415	114569
818	137597	114412
819	137767	114246
820	137948	114089
821	138113	113918
822	138289	113757
823	138473	113601
824	138658	113447
825	138844	113294
826	139018	113131
827	139182	112959
828	139365	112803
829	139541	112642
830	139727	112488
831	139928	112346
832	140101	112182
833	140293	112033
834	140481	111880
835	140663	111723
836	140851	111570
837	141018	111400
838	141189	111235
839	141383	111087
840	141561	110926
841	141752	110776
842	141925	110611
843	142096	110444
844	142257	110270
845	142416	110095
846	142579	109922
847	142731	109741
848	142902	109575
849	143052	109393
850	143218	109222
851	143382	109051
852	143563	108893
853	143745	108735
854	143924	108574
855	144111	108420
856	144288	108258
857	144464	108096
858	144644	107936
859	144824	107776
860	145002	107615
861	145194	107464
862	145383	107311
863	145568	107154
864	145755	106999
865	145955	106854
866	146152	106706
867	146346	106556
868	146514	106387
869	146683	106218
870	146856	106053
871	147020	105882
872	147189	105713
873	147347	105537
874	147509	105364
875	147694	105206
876	147894	105060
877	148072	104898
878	148254	104739
879	148448	104588
880	148631	104430
881	148792	104255
882	148951	104080
883	149143	103928
884	149332	103773
885	149499	103603
886	149678	103441
887	149841	103269
888	149999	103092
889	150144	102908
890	150303	102732
891	150463	102558
892	150632	102389
893	150797	102218
894	150949	102038
895	151119	101870
896	151305	101713
897	151497	101560
898	151686	101405
899	151874	101249
900	152044	101081
901	152208	100909
902	152375	100740
903	152539	100567
904	152699	100393
905	152859	100219
906	153019	100044
907	153193	99879
908	153380	99722
909	153572	99569
910	153760	99412
911	153945	99254
912	154111	99083
913	154268	98907
914	154424	98730
915	154574	98549
916	154723	98368
917	154882	98193
918	155042	98019
919	155199	97843
920	155366	97673
921	155531	97502
922	155718	97344
923	155885	97175
924	156050	97004
925	156214	96832
926	156390	96668
927	156564	96502
928	156741	96339
929	156929	96182
930	157112	96022
931	157303	95867
932	157491	95710
933	157664	95543
934	157817	95365
935	157983	95195
936	158137	95017
937	158292	94840
938	158458	94669
939	158615	94494
940	158776	94320
941	159001	94185
942	159176	94020
943	159336	93846
944	159492	93670
945	159644	93491
946	159804	93317
947	159974	93149
948	160131	92974
949	160298	92804
950	160458	92630
951	160622	92459
952	160792	92291
953	160954	92118
954	161122	91949
955	161301	91786
956	161479	91622
957	161660	91461
958	161832	91294
959	162000	91125
960	162172	90958
961	162361	90800
962	162550	90643
963	162727	90479
964	162908	90317
965	163091	90156
966	163274	89994
967	163470	89841
968	163666	89687
969	163848	89525
970	164033	89365
971	164231	89212
972	164435	89062
973	164598	88889
974	164768	88721
975	164938	88553
976	165096	88378
977	165263	88208
978	165418	88031
979	165577	87857
980	165746	87688
981	165925	87524
982	166103	87360
983	166267	87189
984	166430	87017
985	166619	86858
986	166803	86697
987	166976	86530
988	167122	86349
989	167275	86172
990	167430	85995
991	167612	85833
992	167797	85673
993	167969	85505
994	168128	85331
995	168310	85169
996	168496	85008
997	168696	84855
998	168896	84701
999	169092	84546
1000	169273	84382
1001	169465	84225
1002	169644	84061
1003	169816	83893
1004	169986	83724
1005	170167	83561
1006	170359	83403
1007	170548	83244
1008	170732	83081
1009	170913	82918
1010	171100	82757
1011	171279	82593
1012	171454	82426
1013	171621	82256
1014	171796	82090
1015	171974	81924
1016	172131	81749
1017	172303	81581
1018	172493	81422
1019	172674	81258
1020	172846	81090
1021	173026	80926
1022	173189	80753
1023	173364	80587
1024	173548	80424
1025	173733	80262
1026	173919	80101
1027	174104	79939
1028	174307	79785
1029	174504	79628
1030	174687	79465
1031	174845	79290
1032	174997	79113
1033	175151	78936
1034	175312	78763
1035	175476	78591
1036	175635	78417
1037	175802	78247
1038	175971	78077
1039	176135	77906
1040	176305	77737
1041	176465	77563
1042	176624	77389
1043	176787	77217
1044	176950	77045
1045	177106	76870
1046	177266	76697
1047	177431	76525
1048	177601	76356
1049	177798	76199
1050	177979	76035
1051	178168	75873
1052	178341	75706
1053	178497	75531
1054	178676	75366
1055	178854	75200
1056	179019	75028
1057	179180	74856
1058	179348	74686
1059	179517	74516
1060	179690	74349
1061	179871	74184
1062	180052	74019
1063	180232	73854
1064	180422	73693
